Date,Ranking PBI,country,GDP en Mill,Interes Rate,Inflation Rate,Debt/GDP,Population,GDP Pc
2022-02-02,39,Singapore,340,0.31,4.00,131.00,5700000,59649.12
2022-02-02,40,Malaysia,337,1.75,3.20,60.70,32730000,10296.36
2022-02-02,41,Bangladesh,324,4.75,6.05,31.70,165000000,1963.64
2022-02-02,42,South Africa,302,4.00,5.90,80.30,59300000,5092.75
2022-02-02,43,Vietnam,271,4.00,1.94,46.70,97580000,2777.21
2022-02-02,44,Colombia,271,4.00,5.62,62.80,50880000,5326.26
2022-02-02,45,Finland,270,0.00,3.50,69.20,5530000,48824.59
2022-02-02,46,Pakistan,264,9.75,13.00,87.00,221000000,1194.57
2022-02-02,47,Chile,253,5.50,7.20,33.00,19460000,13001.03
2022-02-02,48,Romania,249,2.00,8.19,47.30,19330000,12881.53
2022-02-02,49,Czech Republic,245,3.75,6.60,38.10,10700000,22897.2
2022-02-02,50,Portugal,231,0.00,3.30,133.60,10300000,22427.18
2022-02-02,51,New Zealand,211,0.75,5.90,30.10,5110000,41291.59
2022-02-02,52,Iran,203,18.00,35.20,45.40,84000000,2416.67
2022-02-02,53,Peru,202,3.00,5.68,35.40,32630000,6190.62
2022-02-02,54,Greece,189,0.00,5.10,205.60,10720000,17630.6
2022-02-02,55,Kazakhstan,170,10.25,8.50,23.40,18880000,9004.24
2022-02-02,56,Iraq,167,4.00,8.40,68.30,40200000,4154.23
2022-02-02,57,Ukraine,156,10.00,10.00,60.80,44130000,3535.01
2022-02-02,58,Hungary,155,2.90,7.40,80.40,9770000,15864.89
2022-02-02,59,Qatar,146,2.50,6.47,71.80,2880000,50694.44
2022-02-02,60,Algeria,145,3.00,8.60,57.20,44230000,3278.32
2022-02-02,61,Kuwait,136,1.50,3.89,11.50,4270000,31850.12
2022-02-02,62,Morocco,113,1.50,3.20,76.40,35950000,3143.25
2022-02-02,63,Ethiopia,108,7.00,35.10,59.00,115000000,939.13
2022-02-02,64,Slovakia,105,0.00,5.80,60.60,5460000,19230.77
2022-02-02,65,Cuba,103,2.25,4.20,18.40,11280000,9131.21
2022-02-02,66,Puerto Rico,103,,4.30,,3190000,32288.4
2022-02-02,67,Kenya,99,7.00,5.39,65.60,53700000,1843.58
2022-02-02,68,Ecuador,99,7.44,1.94,68.90,17560000,5637.81
2022-02-02,69,Sri Lanka,81,5.50,14.20,101.00,21920000,3695.26
2022-02-02,70,Dominican Republic,79,4.50,8.50,69.10,10450000,7559.81
2022-02-02,71,Guatemala,78,1.75,3.07,31.26,17920000,4352.68
2022-02-02,72,Myanmar,76,7.00,7.28,42.40,54530000,1393.73
2022-02-02,73,Luxembourg,73,0.00,4.10,24.90,630000,115873.02
2022-02-02,74,Ghana,72,14.50,12.60,78.00,30960000,2325.58
2022-02-02,75,Bulgaria,69,0.00,7.80,25.30,6950000,9928.06
2022-02-02,76,Oman,65,0.50,3.56,55.90,4500000,14444.44
2022-02-02,77,Syria,65,,139.46,30.01,17500000,3714.29
2022-02-02,78,Tanzania,62,5.00,4.20,37.80,59730000,1038.0
2022-02-02,79,Angola,62,20.00,27.03,120.00,33000000,1878.79
2022-02-02,80,Costa Rica,62,1.25,3.30,79.26,5160000,12015.5
2022-02-02,81,Ivory Coast,61,4.00,5.60,30.00,26370000,2313.23
2022-02-02,82,Belarus,60,9.25,9.97,37.30,9350000,6417.11
2022-02-02,83,Uzbekistan,58,14.00,10.00,40.40,34550000,1678.73
2022-02-02,84,Croatia,56,2.50,5.50,88.70,4060000,13793.1
2022-02-02,85,Lithuania,56,0.00,10.60,47.30,2790000,20071.68
2022-02-02,86,Macau,55,0.50,1.00,,680000,80882.35
2022-02-02,87,Uruguay,54,6.50,7.96,73.00,3530000,15297.45
2022-02-02,88,Slovenia,54,0.00,4.90,80.80,2100000,25714.29
2022-02-02,89,Panama,53,1.36,2.62,69.82,4300000,12325.58
2022-02-02,90,Serbia,53,1.00,7.90,57.40,6930000,7647.91
2022-02-02,91,Congo,50,8.50,3.99,15.20,89390000,559.35
2022-02-02,92,Turkmenistan,45,,10.00,30.90,6000000,7500.0
2022-02-02,93,Jordan,44,2.50,2.40,92.40,10860000,4051.57
2022-02-02,94,Azerbaijan,43,7.50,6.70,20.10,10070000,4270.11
2022-02-02,95,Cameroon,40,3.50,2.37,43.20,26540000,1507.16
2022-02-02,96,Tunisia,39,6.25,6.60,87.60,11810000,3302.29
2022-02-02,97,Bahrain,38,1.00,-0.40,128.30,1700000,22352.94
2022-02-02,98,Bolivia,37,4.03,0.90,67.30,11680000,3167.81
2022-02-02,99,Uganda,37,6.50,2.70,49.80,45740000,808.92
2022-02-02,100,Paraguay,35,5.50,6.80,33.90,7250000,4827.59
2022-02-02,101,Nepal,34,5.00,7.11,37.70,29130000,1167.18
2022-02-02,102,Latvia,34,0.00,7.90,43.50,1910000,17801.05
2022-02-02,103,Lebanon,33,10.00,224.39,171.70,6800000,4852.94
